amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
243.00 ,000297041,C,8599789  ,Closed,  ,243.00 ,5/1/2012,5/7/2012,9/13/2012 ,243.00,Y,104(a),56.14101(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14101.pdf,Newberg Rock & Dirt
100.00 ,000291331,C,8599788  ,Closed,  ,100.00 ,5/1/2012,5/7/2012,7/13/2012 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-12004.pdf,Newberg Rock & Dirt
100.00 ,000269626,C,8599107  ,Closed,  ,100.00 ,9/7/2011,9/19/2011,11/18/2011 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec50-30.pdf,Newberg Rock & Dirt
100.00 ,000239613,C,8599026  ,Closed,  ,100.00 ,10/7/2010,10/7/2010,1/5/2011 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12004.pdf,Newberg Rock & Dirt
100.00 ,000239613,C,8599025  ,Closed,  ,100.00 ,10/7/2010,10/7/2010,1/5/2011 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12004.pdf,Newberg Rock & Dirt
117.00 ,000220925,C,6398905  ,Closed,  ,117.00 ,4/20/2010,6/8/2010,7/9/2010 ,117.00,Y,104(a),56.11001,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-11001.pdf,Newberg Rock & Dirt
100.00 ,000210055,C,6338509  ,Closed,  ,100.00 ,12/29/2009,1/11/2010,1/10/2013 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
100.00 ,000210055,C,6338512  ,Closed,  ,100.00 ,12/29/2009,12/29/2009,1/10/2013 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-12004.pdf,Newberg Rock & Dirt
100.00 ,000210055,C,6338508  ,Closed,  ,100.00 ,12/29/2009,12/30/2009,1/10/2013 ,100.00,N,104(a),56.11002,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-11002.pdf,Newberg Rock & Dirt
100.00 ,000210055,C,6338511  ,Closed,  ,100.00 ,12/29/2009,1/11/2010,1/10/2013 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
100.00 ,000210055,C,6338507  ,Closed,  ,100.00 ,12/29/2009,1/11/2010,1/10/2013 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
100.00 ,000210055,C,6338510  ,Closed,  ,100.00 ,12/29/2009,12/30/2009,1/10/2013 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
100.00 ,000180614,C,6479618  ,Closed,  ,100.00 ,2/26/2009,3/4/2009,5/22/2010 ,100.00,N,104(a),56.14130(i),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14130.pdf,Newberg Rock & Dirt
100.00 ,000180614,C,6479613  ,Closed,  ,100.00 ,2/26/2009,2/26/2009,5/22/2010 ,100.00,Y,104(a),56.3200,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-3200.pdf,Newberg Rock & Dirt
100.00 ,000180614,C,6479617  ,Closed,  ,100.00 ,2/26/2009,3/4/2009,5/8/2009 ,100.00,N,104(a),56.4201(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-4201.pdf,Newberg Rock & Dirt
100.00 ,000180614,C,6479614  ,Closed,  ,100.00 ,2/26/2009,3/4/2009,5/22/2010 ,100.00,N,104(a),56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14100.pdf,Newberg Rock & Dirt
100.00 ,000180614,C,6479615  ,Closed,  ,100.00 ,2/26/2009,3/4/2009,5/22/2010 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14100.pdf,Newberg Rock & Dirt
100.00 ,000180614,C,6479620  ,Closed,  ,100.00 ,2/26/2009,3/4/2009,5/8/2009 ,100.00,N,104(a),56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-12028.pdf,Newberg Rock & Dirt
100.00 ,000180614,C,6479619  ,Closed,  ,100.00 ,2/26/2009,2/26/2009,5/22/2010 ,100.00,N,104(a),56.14100(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14100.pdf,Newberg Rock & Dirt
100.00 ,000180614,C,6479616  ,Closed,  ,100.00 ,2/26/2009,3/4/2009,5/22/2010 ,100.00,N,104(a),56.14103(b),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14103.pdf,Newberg Rock & Dirt
263.00 ,000180614,C,6479612  ,Closed,  ,263.00 ,2/26/2009,3/4/2009,5/22/2010 ,263.00,Y,104(a),56.9200(d),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-9200.pdf,Newberg Rock & Dirt
100.00 ,000152001,C,6430325  ,Closed,  ,100.00 ,4/2/2008,4/3/2008,7/10/2008 ,100.00,N,104(a),56.14112(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf,Newberg Rock & Dirt
100.00 ,000152001,C,6430326  ,Closed,  ,100.00 ,4/2/2008,4/3/2008,7/10/2008 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14100.pdf,Newberg Rock & Dirt
100.00 ,000121048,C,6342893  ,Closed,  ,100.00 ,5/23/2007,5/24/2007,8/17/2007 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2007-title30-vol1/pdf/CFR-2007-title30-vol1-sec56-14100.pdf,Newberg Rock & Dirt
100.00 ,000121048,C,6342892  ,Closed,  ,100.00 ,5/23/2007,5/24/2007,8/17/2007 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2007-title30-vol1/pdf/CFR-2007-title30-vol1-sec56-14100.pdf,Newberg Rock & Dirt
100.00 ,000121048,C,6342894  ,Closed,  ,100.00 ,5/23/2007,5/24/2007,8/17/2007 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2007-title30-vol1/pdf/CFR-2007-title30-vol1-sec56-14132.pdf,Newberg Rock & Dirt
100.00 ,000121048,C,6342895  ,Closed,  ,100.00 ,5/23/2007,5/24/2007,8/17/2007 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2007-title30-vol1/pdf/CFR-2007-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
60.00 ,000086543,C,6383438  ,Closed,  ,60.00 ,3/1/2006,3/2/2006,6/16/2006 ,60.00,N,104(a),56.11002,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-11002.pdf,Newberg Rock & Dirt
60.00 ,000086543,C,6383437  ,Closed,  ,60.00 ,3/1/2006,3/2/2006,6/16/2006 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
60.00 ,000051247,C,6368407  ,Closed,  ,60.00 ,10/27/2004,1/21/2005,7/23/2005 ,60.00,N,104(a),62.120,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec62-120.pdf,Newberg Rock & Dirt
99.00 ,000044260,C,6368406  ,Closed,  ,99.00 ,10/25/2004,10/27/2004,1/12/2005 ,99.00,Y,104(a),56.14131(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14131.pdf,Newberg Rock & Dirt
0.00 ,000426827,C,8933510  ,Delinquent,  ,114.00 ,11/1/2016,1/11/2017,1/20/2017 ,114.00,N,104(a),56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-1000.pdf,AM Dirtworks & Aggregate Sales
100.00 ,000407999,C,8753189  ,Closed,  ,100.00 ,3/3/2016,3/3/2016,6/24/2016 ,100.00,N,104(a),46.9(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec46-9.pdf,AM Dirtworks & Aggregate Sales
108.00 ,000407999,C,8753190  ,Closed,  ,108.00 ,3/3/2016,3/3/2016,6/24/2016 ,108.00,Y,104(a),56.14115(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14115.pdf,AM Dirtworks & Aggregate Sales
100.00 ,000407999,C,8753187  ,Closed,  ,100.00 ,3/2/2016,3/2/2016,6/24/2016 ,100.00,Y,104(a),56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf,AM Dirtworks & Aggregate Sales
100.00 ,000407999,C,8753188  ,Closed,  ,100.00 ,3/2/2016,3/24/2016,6/24/2016 ,100.00,Y,104(a),56.11001,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-11001.pdf,AM Dirtworks & Aggregate Sales
100.00 ,000376854,C,8825833  ,Closed,  ,100.00 ,2/4/2015,2/10/2015,5/19/2015 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec50-30.pdf,AM Dirtworks & Aggregate Sales
114.00 ,000423303,C,8601714  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,Dirt Company
114.00 ,000423303,C,8601712  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.14112(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14112.pdf,Dirt Company
114.00 ,000423303,C,8601716  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.14103(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14103.pdf,Dirt Company
114.00 ,000423303,C,8601713  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf,Dirt Company
114.00 ,000423303,C,8601715  ,Closed,  ,114.00 ,10/1/2016,10/28/2016,12/16/2016 ,114.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,Dirt Company
114.00 ,000416201,C,6356396  ,Closed,  ,114.00 ,6/28/2016,6/28/2016,9/16/2016 ,114.00,N,104(a),56.14132(b)(2),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,Dirt Company
114.00 ,000416201,C,6356395  ,Closed,  ,114.00 ,6/28/2016,6/30/2016,9/16/2016 ,114.00,N,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14112.pdf,Dirt Company
100.00 ,000390299,C,8601400  ,Closed,  ,100.00 ,7/2/2015,8/25/2015,10/8/2015 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Dirt Company
108.00 ,000390299,C,8601414  ,Closed,  ,108.00 ,7/2/2015,8/25/2015,10/8/2015 ,108.00,Y,104(a),56.11002,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-11002.pdf,Dirt Company
100.00 ,000390299,C,8601413  ,Closed,  ,100.00 ,7/2/2015,8/25/2015,10/8/2015 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000390299,C,8601395  ,Closed,  ,100.00 ,7/2/2015,8/25/2015,10/8/2015 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000357404,C,8601402  ,Closed,  ,100.00 ,6/17/2014,6/17/2014,9/3/2014 ,100.00,N,104(a),56.4201(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-4201.pdf,Dirt Company
807.00 ,000293537,C,8601228  ,Closed,  ,807.00 ,5/31/2012,5/31/2012,8/9/2012 ,807.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,Dirt Company
243.00 ,000293537,C,8601223  ,Closed,  ,243.00 ,5/31/2012,5/31/2012,8/9/2012 ,243.00,Y,104(a),56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf,Dirt Company
108.00 ,000293537,C,8601225  ,Closed,  ,108.00 ,5/31/2012,5/31/2012,8/9/2012 ,108.00,Y,104(a),56.15001,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-15001.pdf,Dirt Company
108.00 ,000293537,C,8601222  ,Closed,  ,108.00 ,5/31/2012,5/31/2012,8/9/2012 ,108.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,Dirt Company
108.00 ,000293537,C,8601226  ,Closed,  ,108.00 ,5/31/2012,5/31/2012,8/9/2012 ,108.00,Y,104(a),56.11002,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-11002.pdf,Dirt Company
100.00 ,000293537,C,8601224  ,Closed,  ,100.00 ,5/31/2012,5/31/2012,8/9/2012 ,100.00,N,104(a),56.4201(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-4201.pdf,Dirt Company
100.00 ,000270890,C,8601037  ,Closed,  ,100.00 ,9/8/2011,9/8/2011,12/7/2011 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000270890,C,8601038  ,Closed,  ,100.00 ,9/8/2011,9/8/2011,12/7/2011 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec50-30.pdf,Dirt Company
100.00 ,000207313,C,6478924  ,Closed,  ,100.00 ,11/20/2009,11/20/2009,2/6/2010 ,100.00,N,104(a),41.12,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec41-12.pdf,Dirt Company
100.00 ,000207313,C,6478923  ,Closed,  ,100.00 ,11/20/2009,11/20/2009,2/6/2010 ,100.00,N,104(a),56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-1000.pdf,Dirt Company
100.00 ,000198763,C,6444512  ,Closed,  ,100.00 ,8/24/2009,9/21/2009,10/30/2010 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec50-30.pdf,Dirt Company
60.00 ,000041449,C,6358300  ,Closed,  ,60.00 ,8/11/2004,8/15/2004,12/23/2004 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
124.00 ,000041449,C,6358295  ,Closed,  ,124.00 ,8/11/2004,8/26/2004,12/23/2004 ,124.00,Y,104(a),56.14130(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14130.pdf,Dirt Company
124.00 ,000041449,C,6358296  ,Closed,  ,124.00 ,8/11/2004,8/12/2004,12/23/2004 ,124.00,Y,104(a),56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-12032.pdf,Dirt Company
60.00 ,000041449,C,6358297  ,Closed,  ,60.00 ,8/11/2004,8/12/2004,12/23/2004 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
60.00 ,000041449,C,6358299  ,Closed,  ,60.00 ,8/11/2004,8/15/2004,12/23/2004 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
101.00 ,000046666,O,6358302  ,Closed,  ,101.00 ,8/11/2004,8/26/2004,2/24/2005 ,101.00,Y,104(g)(1),46.8(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec46-8.pdf,Dirt Company
60.00 ,000041449,C,6358298  ,Closed,  ,60.00 ,8/11/2004,8/15/2004,12/23/2004 ,60.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
99.00 ,000041449,C,6358301  ,Closed,  ,99.00 ,8/11/2004,8/26/2004,12/23/2004 ,99.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14107.pdf,Dirt Company
100.00 ,000291395,C,8657164  ,Closed,  ,100.00 ,5/1/2012,5/2/2012,7/25/2012 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,Sunshine Reclamation Inc.
108.00 ,000291395,C,8657165  ,Closed,  ,108.00 ,5/1/2012,5/1/2012,7/25/2012 ,108.00,Y,104(a),56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-9300.pdf,Sunshine Reclamation Inc.
585.00 ,000242289,C,8580031  ,Closed,J392 ,585.00 ,10/27/2010,10/27/2010,1/30/2011 ,585.00,Y,104(a),56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
585.00 ,000242289,C,8580030  ,Closed,J392 ,585.00 ,10/27/2010,10/27/2010,1/30/2011 ,585.00,Y,104(a),56.14100(c),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
362.00 ,000240535,C,8580029  ,Closed,  ,362.00 ,10/26/2010,10/26/2010,1/13/2011 ,362.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,Sunshine Reclamation Inc.
585.00 ,000252992,C,8580023  ,Closed,J392 ,585.00 ,10/26/2010,10/26/2010,5/28/2011 ,585.00,Y,104(a),56.14130(g),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14130.pdf,Dirt Con
585.00 ,000239419,C,8580028  ,Closed,J392 ,585.00 ,10/26/2010,10/26/2010,1/2/2011 ,585.00,Y,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,Dirt Con
100.00 ,000239419,C,8580025  ,Closed,J392 ,100.00 ,10/26/2010,10/27/2010,1/2/2011 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
176.00 ,000239419,C,8580027  ,Closed,J392 ,176.00 ,10/26/2010,10/27/2010,1/2/2011 ,176.00,Y,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
